location,Death Valley National Park,Death Valley National Park,Death Valley National Park,Death Valley National Park
lat,36.11240,36.11240,36.11240,36.11240
lon,-117.33333,-117.33333,-117.33333,-117.33333
asl,1147.952,1147.952,1147.952,1147.952
variable,Temperature,Temperature,Temperature,Precipitation Total
unit,°C,°C,°C,mm
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc
resolution,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation
timestamp,Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Precipitation Total
20190603T0000,25.22119,14.881189,20.887857,0.0
20190604T0000,28.87119,17.32119,23.76619,0.0
20190605T0000,30.86119,19.531189,25.40452,0.0
20190606T0000,28.62119,19.73119,23.526606,0.0
20190607T0000,25.611189,14.851189,19.465355,0.0
20190608T0000,22.63119,13.2211895,18.031605,0.0
20190609T0000,24.281189,13.56119,19.564524,0.0
20190610T0000,28.45119,15.00119,22.414526,0.0
20190611T0000,30.18119,18.55119,24.99869,0.0
20190612T0000,31.631191,21.65119,26.728691,0.0
20190613T0000,30.20119,19.05119,24.42869,0.0
20190614T0000,28.11119,19.861189,24.643272,0.0
20190615T0000,29.601189,19.531189,24.836191,0.0
20190616T0000,29.55119,18.29119,23.437021,0.0
20190617T0000,27.80119,18.941189,23.453688,0.0
20190618T0000,29.831188,17.89119,24.718275,0.0
20190619T0000,32.50119,21.15119,27.153273,0.0
20190620T0000,31.23119,19.90119,24.698273,0.0
20190621T0000,24.48119,16.06119,21.051191,0.0
20190622T0000,24.15119,15.01119,19.784937,0.0
20190623T0000,26.76119,14.7211895,21.506607,0.0
20190624T0000,28.941189,18.67119,23.74244,0.0
20190625T0000,27.52119,16.521189,22.10286,0.0
20190626T0000,26.941189,13.871189,20.499105,0.0
20190627T0000,26.861189,13.6811905,20.179523,0.0
20190628T0000,26.54119,11.881189,19.948275,0.0
20190629T0000,27.791191,14.211189,21.232855,0.0
20190630T0000,29.34119,16.22119,22.497023,0.0
20190701T0000,29.221191,15.90119,22.866188,0.0
20190702T0000,28.45119,16.01119,22.429108,0.0
20190703T0000,28.941189,15.461189,21.795774,0.0
20190704T0000,28.05119,16.101189,22.151606,0.0
20190705T0000,28.941189,16.22119,23.114939,0.0
20190706T0000,29.241188,18.521189,24.262442,0.0
20190707T0000,27.61119,16.191189,21.60494,0.0
20190708T0000,27.281189,13.98119,20.540356,0.0
20190709T0000,27.38119,14.01119,20.764523,0.0
20190710T0000,30.171188,16.15119,23.591608,0.0
20190711T0000,31.71119,19.40119,26.140358,0.0
20190712T0000,31.96119,19.93119,26.489937,0.0
20190713T0000,32.75119,20.781189,27.710358,0.0
20190714T0000,32.57119,21.17119,27.228273,0.0
20190715T0000,32.33119,19.40119,26.61827,0.0
20190716T0000,31.20119,18.83119,25.02494,0.0
20190717T0000,29.20119,16.92119,23.32744,0.0
20190718T0000,29.64119,16.42119,23.00869,0.0
20190719T0000,29.07119,15.601189,22.293274,0.0
20190720T0000,29.491188,14.771189,22.218275,0.0
20190721T0000,32.41119,16.75119,24.440353,0.0
20190722T0000,32.42119,20.81119,26.920774,0.0
20190723T0000,30.52119,23.80119,26.72994,0.0
20190724T0000,32.95119,22.01119,27.41494,0.0
20190725T0000,28.52119,23.42119,25.724524,1.6
20190726T0000,31.941189,20.73119,26.414103,0.0
20190727T0000,32.44119,22.01119,27.401606,0.0
20190728T0000,34.061188,23.201189,29.303276,0.0
20190729T0000,34.46119,20.39119,27.585775,0.0
20190730T0000,31.971191,20.38119,26.824938,0.0
20190731T0000,30.73119,19.34119,25.203276,0.0
20190801T0000,30.41119,17.42119,24.165773,0.0
20190802T0000,30.75119,19.18119,24.924105,0.0
20190803T0000,31.671188,21.09119,26.443687,0.0
20190804T0000,33.36119,20.351189,27.02577,0.0
20190805T0000,32.741188,20.67119,27.12327,0.0
20190806T0000,33.45119,21.57119,26.396189,0.0
20190807T0000,30.081188,21.42119,25.32869,0.0
20190808T0000,29.781189,18.111189,23.809107,0.0
20190809T0000,28.191189,15.9711895,22.093275,0.0
20190810T0000,27.14119,13.2211895,20.417856,0.0
20190811T0000,26.47119,14.441189,20.613691,0.0
20190812T0000,28.601189,16.79119,23.239523,0.0
20190813T0000,30.89119,18.96119,24.834518,0.0
20190814T0000,32.46119,19.49119,26.427439,0.0
20190815T0000,32.87119,19.99119,27.10494,0.0
20190816T0000,33.00119,22.01119,27.07702,0.0
20190817T0000,30.921188,18.861189,24.405355,0.0
20190818T0000,27.791191,15.601189,21.86119,0.0
20190819T0000,28.381191,15.791189,21.758272,0.0
20190820T0000,30.131191,17.18119,23.562859,0.0
20190821T0000,31.791191,18.89119,25.359108,0.0
20190822T0000,29.671188,18.33119,24.064108,0.0
20190823T0000,29.991188,18.06119,23.910774,0.0
20190824T0000,29.851189,19.23119,24.769106,0.0
20190825T0000,31.721191,20.611189,25.896193,0.0
20190826T0000,32.651188,21.521189,27.319107,0.0
20190827T0000,33.19119,22.62119,27.87369,0.0
20190828T0000,32.54119,22.46119,27.10869,0.0
20190829T0000,30.541191,19.441189,24.954107,0.0
20190830T0000,32.19119,18.99119,24.96994,0.0
20190831T0000,31.901188,20.531189,26.013689,0.0
20190901T0000,32.57119,19.29119,26.390358,0.0
20190902T0000,30.32119,22.88119,25.726189,0.2
20190903T0000,31.081188,18.84119,25.988274,0.0
20190904T0000,31.011189,22.01119,26.55786,0.0
20190905T0000,29.41119,23.07119,25.543276,0.3
20190906T0000,29.561188,20.49119,25.046602,0.0
20190907T0000,29.45119,20.54119,24.380775,0.0
20190908T0000,24.351189,12.851189,19.355356,0.0
20190909T0000,25.12119,14.64119,19.682436,0.0
20190910T0000,23.22119,11.531189,16.674938,0.0
20190911T0000,23.451189,12.031189,18.047441,0.0
20190912T0000,25.81119,12.881189,20.021605,0.0
20190913T0000,28.82119,12.691189,21.85119,0.0
20190914T0000,28.98119,16.06119,23.339106,0.0
20190915T0000,26.49119,19.26119,22.837023,0.0
20190916T0000,22.54119,13.01119,18.38202,0.0
20190917T0000,20.49119,10.94119,15.577857,0.0
20190918T0000,23.84119,12.00119,17.024523,0.0
20190919T0000,19.97119,9.65119,15.229523,0.0
20190920T0000,18.781189,9.07119,14.611188,0.0
20190921T0000,21.851189,9.881189,16.422857,0.0
20190922T0000,22.22119,11.861189,17.630358,0.0
20190923T0000,23.861189,15.2211895,19.073689,0.0
20190924T0000,26.57119,12.17119,20.257858,0.0
20190925T0000,27.761189,15.82119,22.134108,0.0
20190926T0000,23.09119,14.75119,19.660772,0.0
20190927T0000,23.111189,11.64119,17.662022,0.0
20190928T0000,19.701189,9.27119,14.17744,0.0
20190929T0000,13.301189,2.6211896,8.526189,0.0
20190930T0000,13.99119,3.3111897,8.444523,0.0
20191001T0000,14.57119,5.581189,10.05994,0.0
20191002T0000,17.361189,5.6811895,11.545357,0.0
20191003T0000,19.06119,6.2311897,12.551605,0.0
20191004T0000,19.81119,9.461189,14.094106,0.0
20191005T0000,21.14119,9.081189,15.596191,0.0
20191006T0000,21.64119,10.32119,16.238272,0.0
20191007T0000,23.191189,9.14119,16.594107,0.0
20191008T0000,23.76119,10.70119,17.831606,0.0
20191009T0000,23.781189,12.91119,17.682856,0.0
20191010T0000,11.57119,3.5911894,7.7161903,0.0
20191011T0000,13.91119,2.4111896,8.35744,0.0
20191012T0000,17.451189,1.7511897,10.29744,0.0
20191013T0000,17.58119,3.1611896,11.515357,0.0
20191014T0000,19.521189,5.3411894,13.359524,0.0
20191015T0000,21.39119,4.791189,13.916191,0.0
20191016T0000,21.05119,7.69119,15.155773,0.0
20191017T0000,18.82119,9.66119,13.972856,0.0
