Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
9/9/2016,0.6,11735.02
9/10/2016,1.1,11736.12
9/11/2016,0.79,11736.91
9/12/2016,0.54,11737.45
9/13/2016,3.34,11740.79
9/14/2016,1.47,11742.26
9/15/2016,0.29,11742.55
9/16/2016,2.09,11744.64
9/17/2016,0.19,11744.83
9/18/2016,0.26,11745.09
9/19/2016,0.24,11745.33
9/20/2016,0.48,11745.81
9/21/2016,0.49,11746.3
9/22/2016,1.47,11747.77
9/23/2016,1.84,11749.61
9/24/2016,1.18,11750.79
9/25/2016,2.33,11753.12
9/26/2016,2.65,11755.77
9/27/2016,2.87,11758.64
9/28/2016,3.03,11761.67
9/29/2016,2.44,11764.11
9/30/2016,0,11764.11
10/1/2016,0.32,11764.43
10/2/2016,0.08,11764.51
10/3/2016,0,11764.51
10/4/2016,1.1,11765.61
10/5/2016,0.44,11766.05
10/6/2016,0.26,11766.31
10/7/2016,0.22,11766.53
10/8/2016,0.29,11766.82
10/9/2016,0.24,11767.06
10/10/2016,0.36,11767.42
10/11/2016,0.85,11768.27
10/12/2016,5,11773.27
10/13/2016,1.81,11775.08
10/14/2016,3.94,11779.02
10/15/2016,3.22,11782.24
10/16/2016,0.95,11783.19
10/17/2016,3.9,11787.09
10/18/2016,2.2,11789.29
10/19/2016,0.56,11789.85
10/20/2016,0.26,11790.11
10/21/2016,0.85,11790.96
10/22/2016,0.54,11791.5
10/23/2016,0.44,11791.94
10/24/2016,0.3,11792.24
10/25/2016,0.7,11792.94
10/26/2016,0.82,11793.76
10/27/2016,0.78,11794.54
10/28/2016,1.59,11796.13
10/29/2016,0.64,11796.77
10/30/2016,0.36,11797.13
10/31/2016,2.04,11799.17
11/1/2016,0.68,11799.85
11/2/2016,0.4,11800.25
11/3/2016,0,11800.25
11/4/2016,0.06,11800.31
11/5/2016,0.33,11800.64
11/6/2016,0.28,11800.92
11/7/2016,0,11800.92
11/8/2016,0.12,11801.04
11/9/2016,0,11801.04
11/10/2016,0.06,11801.1
11/11/2016,0.56,11801.66
11/12/2016,0.89,11802.55
11/13/2016,0.61,11803.16
11/14/2016,0.76,11803.92
11/15/2016,0,11803.92
11/16/2016,0,11803.92
11/17/2016,0.31,11804.23
11/18/2016,0.63,11804.86
11/19/2016,0.24,11805.1
11/20/2016,0.27,11805.37
11/21/2016,0,11805.37
11/22/2016,0.59,11805.96
11/23/2016,1.41,11807.37
11/24/2016,1.96,11809.33
11/25/2016,0.67,11810
11/26/2016,0.73,11810.73
11/27/2016,1.2,11811.93
11/28/2016,1.06,11812.99
11/29/2016,0.09,11813.08
11/30/2016,0,11813.08
12/1/2016,0.01,11813.09
12/2/2016,0,11813.09
12/3/2016,0,11813.09
12/4/2016,0,11813.09
12/5/2016,0,11813.09
12/6/2016,0,11813.09
12/7/2016,0.83,11813.92
12/8/2016,2.15,11816.07
12/9/2016,15.42,11831.49
12/10/2016,25.52,11857.01
12/11/2016,24.42,11881.43
12/12/2016,22.25,11903.68
12/13/2016,22.24,11925.92
12/14/2016,24.87,11950.79
12/15/2016,22.2,11972.99
12/16/2016,20.79,11993.78
12/17/2016,21.87,12015.65
12/18/2016,3.22,12018.87
12/19/2016,13.22,12032.09
12/20/2016,86.36,12118.45
12/21/2016,9.24,12127.69
12/22/2016,17.5,12145.19
12/23/2016,19.07,12164.26
12/24/2016,18.06,12182.32
12/25/2016,18.15,12200.47
12/26/2016,18.2,12218.67
12/27/2016,9.45,12228.12
12/28/2016,15.03,12243.15
12/29/2016,17.69,12260.84
12/30/2016,10.39,12271.23
12/31/2016,2.64,12273.87
1/1/2017,0.17,12274.04
1/2/2017,0.25,12274.29
1/3/2017,0.37,12274.66
1/4/2017,0.31,12274.97
1/5/2017,0.37,12275.34
1/6/2017,0.24,12275.58
1/7/2017,24.64,12300.22
1/8/2017,33.31,12333.53
1/9/2017,33.36,12366.89
1/10/2017,34.25,12401.14
1/11/2017,32.88,12434.02
1/12/2017,31.2,12465.22
1/13/2017,10.35,12475.57
1/14/2017,30.27,12505.84
1/15/2017,37.12,12542.96
1/16/2017,39.29,12582.25
1/17/2017,51.74,12633.99
1/18/2017,42.13,12676.12
1/19/2017,3.73,12679.85
1/20/2017,4.5,12684.35
1/21/2017,20,12704.35
1/22/2017,24.01,12728.36
1/23/2017,32.12,12760.48
1/24/2017,0,12760.48
1/25/2017,0,12760.48
1/26/2017,0,12760.48
1/27/2017,0,12760.48
1/28/2017,0,12760.48
1/29/2017,0,12760.48
1/30/2017,0,12760.48
1/31/2017,0,12760.48
2/1/2017,0,12760.48
2/2/2017,0,12760.48
2/3/2017,0,12760.48
2/4/2017,13.5,12773.98
2/5/2017,25.42,12799.4
2/6/2017,43.51,12842.91
2/7/2017,57.64,12900.55
2/8/2017,58.89,12959.44
2/9/2017,111.78,13071.22
2/10/2017,20.23,13091.45
2/11/2017,4.69,13096.14
2/12/2017,15.81,13111.95
2/13/2017,20.06,13132.01
2/14/2017,45.42,13177.43
2/15/2017,49.91,13227.34
2/16/2017,41.43,13268.77
2/17/2017,34.27,13303.04
2/18/2017,37.09,13340.13
2/19/2017,33.4,13373.53
2/20/2017,38.84,13412.37
2/21/2017,34.07,13446.44
2/22/2017,21.78,13468.22
2/23/2017,12.37,13480.59
2/24/2017,1.97,13482.56
2/25/2017,1.77,13484.33
2/26/2017,1.89,13486.22
2/27/2017,2.09,13488.31
2/28/2017,2.6,13490.91
3/1/2017,29.84,13520.75
3/2/2017,25.75,13546.5
3/3/2017,29.92,13576.42
3/4/2017,0.69,13577.11
3/5/2017,0,13577.11
3/6/2017,0,13577.11
3/7/2017,0,13577.11
3/8/2017,55.64,13632.75
3/9/2017,31.88,13664.63
3/10/2017,30.73,13695.36
3/11/2017,57.97,13753.33
3/12/2017,1.04,13754.37
3/13/2017,31.73,13786.1
3/14/2017,22.56,13808.66
3/15/2017,23.53,13832.19
3/16/2017,1.65,13833.84
3/17/2017,1.27,13835.11
3/18/2017,17.93,13853.04
3/19/2017,20.56,13873.6
3/20/2017,20.24,13893.84
3/21/2017,20.69,13914.53
3/22/2017,13.4,13927.93
3/23/2017,18.11,13946.04
3/24/2017,7.76,13953.8
3/25/2017,2.92,13956.72
3/26/2017,1.96,13958.68
3/27/2017,3.36,13962.04
3/28/2017,4.09,13966.13
3/29/2017,2.95,13969.08
3/30/2017,2.82,13971.9
3/31/2017,0.71,13972.61
4/1/2017,1.74,13974.35
4/2/2017,5.6,13979.95
4/3/2017,67.94,14047.89
4/4/2017,0.98,14048.87
4/5/2017,8.15,14057.02
4/6/2017,7.64,14064.66
4/7/2017,10.71,14075.37
4/8/2017,54.62,14129.99
4/9/2017,9.36,14139.35
4/10/2017,5.07,14144.42
4/11/2017,1.95,14146.37
4/12/2017,4.76,14151.13
4/13/2017,57.21,14208.34
4/14/2017,25.61,14233.95
4/15/2017,6.9,14240.85
4/16/2017,1.78,14242.63
4/17/2017,2.72,14245.35
4/18/2017,0.97,14246.32
4/19/2017,1.98,14248.3
4/20/2017,0.3,14248.6
4/21/2017,0.85,14249.45
4/22/2017,2.72,14252.17
4/23/2017,4.31,14256.48
4/24/2017,31.02,14287.5
4/25/2017,3.9,14291.4
4/26/2017,1.96,14293.36
4/27/2017,0.08,14293.44
4/28/2017,0.22,14293.66
4/29/2017,0.04,14293.7
4/30/2017,0.08,14293.78
5/1/2017,0.2,14293.98
5/2/2017,1.23,14295.21
5/3/2017,1.3,14296.51
5/4/2017,3.21,14299.72
5/5/2017,4.18,14303.9
5/6/2017,1.28,14305.18
5/7/2017,21.59,14326.77
5/8/2017,6.64,14333.41
5/9/2017,40.59,14374
5/10/2017,3.97,14377.97
5/11/2017,2.1,14380.07
5/12/2017,3.94,14384.01
5/13/2017,5.34,14389.35
5/14/2017,4.47,14393.82
