Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
4/12/2017,3040.63,1321.664541
4/13/2017,4394.59,1326.059131
4/14/2017,4948.56,1331.007691
4/15/2017,2914.09,1333.921781
4/16/2017,2216.75,1336.138531
4/17/2017,1994.66,1338.133191
4/18/2017,982.91,1339.116101
4/19/2017,81.97,1339.198071
4/20/2017,291,1339.489071
4/21/2017,1918.03,1341.407101
4/22/2017,2472.97,1343.880071
4/23/2017,3008.88,1346.888951
4/24/2017,2977.66,1349.866611
4/25/2017,3021.5,1352.888111
4/26/2017,1711.69,1354.599801
4/27/2017,189.81,1354.789611
4/28/2017,240.81,1355.030421
4/29/2017,250.91,1355.281331
4/30/2017,300.03,1355.581361
5/1/2017,308.63,1355.889991
5/2/2017,1656.53,1357.546521
5/3/2017,2780.91,1360.327431
5/4/2017,3481.06,1363.808491
5/5/2017,2968.69,1366.777181
5/6/2017,1160.59,1367.937771
5/7/2017,5689.88,1373.627651
5/8/2017,3985.78,1377.613431
5/9/2017,3877.56,1381.490991
5/10/2017,1130,1382.620991
5/11/2017,2043.22,1384.664211
5/12/2017,3079.94,1387.744151
5/13/2017,3529.06,1391.273211
5/14/2017,3065.56,1394.338771
5/15/2017,1590.41,1395.929181
5/16/2017,4032.56,1399.961741
5/17/2017,3385.5,1403.347241
5/18/2017,3564.06,1406.911301
5/19/2017,3341.19,1410.252491
5/20/2017,4314.03,1414.566521
5/21/2017,4630.66,1419.197181
5/22/2017,4843.31,1424.040491
5/23/2017,4465.41,1428.505901
5/24/2017,4346.97,1432.852871
5/25/2017,4322,1437.174871
5/26/2017,4408.66,1441.583531
5/27/2017,4053.41,1445.636941
5/28/2017,3765.47,1449.402411
5/29/2017,3585.75,1452.988161
5/30/2017,3797.66,1456.785821
5/31/2017,3744.75,1460.530571
6/1/2017,4142.69,1464.673261
6/2/2017,2016.38,1466.689641
6/3/2017,291.81,1466.981451
6/4/2017,3575.69,1470.557141
6/5/2017,3447.59,1474.004731
6/6/2017,3744.97,1477.749701
6/7/2017,3988.94,1481.738641
6/8/2017,4230.84,1485.969481
6/9/2017,3893.34,1489.862821
6/10/2017,3531.97,1493.394791
6/11/2017,3172.41,1496.567201
6/12/2017,3424.38,1499.991581
6/13/2017,3281.97,1503.273551
6/14/2017,3317.09,1506.590641
6/15/2017,3353.56,1509.944201
6/16/2017,3407.53,1513.351731
6/17/2017,3262.38,1516.614111
6/18/2017,3055.56,1519.669671
6/19/2017,3192.88,1522.862551
6/20/2017,3412.06,1526.274611
6/21/2017,3345.19,1529.619801
6/22/2017,3224.38,1532.844181
6/23/2017,3228.19,1536.072371
6/24/2017,3265.25,1539.337621
6/25/2017,3407.06,1542.744681
6/26/2017,3484.44,1546.229121
6/27/2017,3716.56,1549.945681
6/28/2017,3782.19,1553.727871
6/29/2017,3503.38,1557.231251
6/30/2017,3290.69,1560.521941
7/1/2017,3126.25,1563.648191
7/2/2017,3124.88,1566.773071
7/3/2017,3283.13,1570.056201
7/4/2017,3137.13,1573.193331
7/5/2017,3077.31,1576.270641
7/6/2017,3214.19,1579.484831
7/7/2017,3364.69,1582.849521
7/8/2017,3375.5,1586.225021
7/9/2017,3402.94,1589.627961
7/10/2017,3347.19,1592.975151
7/11/2017,3494.63,1596.469781
7/12/2017,1850.06,1598.319841
7/13/2017,607,1598.926841
7/14/2017,2925.56,1601.852401
7/15/2017,3149.63,1605.002031
7/16/2017,3687.75,1608.689781
7/17/2017,3500.75,1612.190531
7/18/2017,3354.56,1615.545091
7/19/2017,3153.75,1618.698841
